annee;code_territoire;colors;id;id_source;id_target;label;nom_territoire;source;target;type_territoire;value
2017;200042935;#40de48;1;0;1;imports organo-carburant;CA Haut - Bugey Agglomération;Importations;Organo-carburants;epci;43.55861497752695
2017;200042935;#40de49;2;1;2;organo-carburant;CA Haut - Bugey Agglomération;Organo-carburants;Organo-carburants - vecteur énergétique ;epci;43.55861497752695
2017;200042935;#40de50;3;2;3;organo-carburant vecteur;CA Haut - Bugey Agglomération;Organo-carburants - vecteur énergétique ;Résidentiel;epci;0.0
2017;200042935;#40de51;4;2;4;Résidentiel;CA Haut - Bugey Agglomération;Organo-carburants - vecteur énergétique ;Tertiaire;epci;0.0
2017;200042935;#40de52;5;2;5;Tertiaire;CA Haut - Bugey Agglomération;Organo-carburants - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;0.486335194084698
2017;200042935;#40de53;6;2;6;Agriculture;CA Haut - Bugey Agglomération;Organo-carburants - vecteur énergétique ;Industrie et déchets;epci;0.0
2017;200042935;#40de54;7;2;7;Industrie-déchets;CA Haut - Bugey Agglomération;Organo-carburants - vecteur énergétique ;Transport;epci;43.072279783442255
2017;200042935;#c5c9d1;8;8;9;Transport;CA Haut - Bugey Agglomération;Importations;Produits pétroliers primaires;epci;0.0
2017;200042935;#c5c9d1;9;9;10;imports pp primaires;CA Haut - Bugey Agglomération;Produits pétroliers primaires;Raffinerie;epci;0.0
2017;200042935;#c5c9d1;10;10;12;pp primaires;CA Haut - Bugey Agglomération;Raffinerie;Produits pétroliers secondaires;epci;0.0
2017;200042935;#c5c9d1;11;10;13;Raffinerie;CA Haut - Bugey Agglomération;Raffinerie;Exportations;epci;0.0
2017;200042935;#c5c9d1;12;10;14;Imports pp secondaires;CA Haut - Bugey Agglomération;Raffinerie;Pertes transformation;epci;0.0
2017;200042935;#c5c9d1;13;11;12;pp secondaires;CA Haut - Bugey Agglomération;Importations;Produits pétroliers secondaires;epci;697.1740543571416
2017;200042935;#c5c9d1;14;12;16;Exportations;CA Haut - Bugey Agglomération;Produits pétroliers secondaires;Transformation de l'énergie;epci;0.255158
2017;200042935;#c5c9d1;15;12;15;Pertes raffinage;CA Haut - Bugey Agglomération;Produits pétroliers secondaires;Produits pétroliers secondaires - vecteur énergétique ;epci;696.9188963571426
2017;200042935;#c5c9d1;16;15;3;pp secondaires vecteur;CA Haut - Bugey Agglomération;Produits pétroliers secondaires - vecteur énergétique ;Résidentiel;epci;98.9633726450072
2017;200042935;#c5c9d1;17;15;4;Transformation de l'énergie;CA Haut - Bugey Agglomération;Produits pétroliers secondaires - vecteur énergétique ;Tertiaire;epci;21.7762122433223
2017;200042935;#c5c9d1;18;15;5;Importation gaz;CA Haut - Bugey Agglomération;Produits pétroliers secondaires - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;6.37601105813087
2017;200042935;#c5c9d1;19;15;6;Gaz;CA Haut - Bugey Agglomération;Produits pétroliers secondaires - vecteur énergétique ;Industrie et déchets;epci;25.7133670808413
2017;200042935;#c5c9d1;20;15;7;Pertes réseaux;CA Haut - Bugey Agglomération;Produits pétroliers secondaires - vecteur énergétique ;Transport;epci;544.089933329841
2017;200042935;#f58536;21;17;18;Gaz vecteur;CA Haut - Bugey Agglomération;Importations;Gaz;epci;314.5601699144832
2017;200042935;#f58536;22;18;19;Imports CMS;CA Haut - Bugey Agglomération;Gaz;Pertes réseaux;epci;1.4008072134055147
2017;200042935;#f58536;23;18;16;CMS;CA Haut - Bugey Agglomération;Gaz;Transformation de l'énergie;epci;32.997920019975
2017;200042935;#f58536;24;18;20;CMS vecteur;CA Haut - Bugey Agglomération;Gaz;Gaz - vecteur énergétique ;epci;281.5622498945082
2017;200042935;#f58536;25;20;3;Imports uranium;CA Haut - Bugey Agglomération;Gaz - vecteur énergétique ;Résidentiel;epci;144.11928882
2017;200042935;#f58536;26;20;4;Uranium;CA Haut - Bugey Agglomération;Gaz - vecteur énergétique ;Tertiaire;epci;122.230556891444
2017;200042935;#f58536;27;20;5;Imports biomasse solide;CA Haut - Bugey Agglomération;Gaz - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;0.17482113723066706
2017;200042935;#f58536;28;20;6;Production biommase solide;CA Haut - Bugey Agglomération;Gaz - vecteur énergétique ;Industrie et déchets;epci;13.1298404132699
2017;200042935;#f58536;29;20;7;Biomasse solide;CA Haut - Bugey Agglomération;Gaz - vecteur énergétique ;Transport;epci;0.50693541915815
2017;200042935;#211e1c;30;21;22;Biomasse solide vecteur;CA Haut - Bugey Agglomération;Importations;CMS;epci;0.583901861667504
2017;200042935;#211e1c;31;22;16;Production biogaz;CA Haut - Bugey Agglomération;CMS;Transformation de l'énergie;epci;0.0
2017;200042935;#211e1c;32;22;23;Biogaz;CA Haut - Bugey Agglomération;CMS;CMS - vecteur énergétique ;epci;0.583901861667504
2017;200042935;#211e1c;33;23;3;Production déchets;CA Haut - Bugey Agglomération;CMS - vecteur énergétique ;Résidentiel;epci;0.0
2017;200042935;#211e1c;34;23;4;Déchets;CA Haut - Bugey Agglomération;CMS - vecteur énergétique ;Tertiaire;epci;0.0
2017;200042935;#211e1c;35;23;5;Déchets vecteur;CA Haut - Bugey Agglomération;CMS - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;0.0
2017;200042935;#211e1c;36;23;6;Production hydraulique;CA Haut - Bugey Agglomération;CMS - vecteur énergétique ;Industrie et déchets;epci;0.583901861667504
2017;200042935;#211e1c;37;23;7;Hydroélectricité;CA Haut - Bugey Agglomération;CMS - vecteur énergétique ;Transport;epci;0.0
2017;200042935;#981ca3;38;24;25;Production éolien;CA Haut - Bugey Agglomération;Importations;Uranium;epci;0.0
2017;200042935;#981ca3;39;25;16;Eolien;CA Haut - Bugey Agglomération;Uranium;Transformation de l'énergie;epci;0.0
2017;200042935;#db0d55;40;26;28;Production solaire PV;CA Haut - Bugey Agglomération;Importations;Biomasse solide;epci;33.012386534275066
2017;200042935;#db0d55;41;27;28;Solaire PV;CA Haut - Bugey Agglomération;Production;Biomasse solide;epci;77.02890191330849
2017;200042935;#db0d55;42;28;16;Electricité;CA Haut - Bugey Agglomération;Biomasse solide;Transformation de l'énergie;epci;48.077632
2017;200042935;#db0d55;43;28;29;Production solaire thermique;CA Haut - Bugey Agglomération;Biomasse solide;Biomasse solide - vecteur énergétique ;epci;61.96365644758356
2017;200042935;#db0d55;44;29;3;Solaire thermique;CA Haut - Bugey Agglomération;Biomasse solide - vecteur énergétique ;Résidentiel;epci;65.9779973564865
2017;200042935;#db0d55;45;29;4;Production PAC;CA Haut - Bugey Agglomération;Biomasse solide - vecteur énergétique ;Tertiaire;epci;-11.397897143225139
2017;200042935;#db0d55;46;29;5;Pertes ou torchage;CA Haut - Bugey Agglomération;Biomasse solide - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;0.0
2017;200042935;#db0d55;47;29;6;PAC;CA Haut - Bugey Agglomération;Biomasse solide - vecteur énergétique ;Industrie et déchets;epci;7.383556234322199
2017;200042935;#db0d55;48;29;7;Chaleur locale;CA Haut - Bugey Agglomération;Biomasse solide - vecteur énergétique ;Transport;epci;0.0
2017;200042935;#1ca337;49;30;31;Réseaux de chaleur;CA Haut - Bugey Agglomération;Production;Biogaz;epci;0.0
2017;200042935;#1ca337;50;31;45;Pertes transformation;CA Haut - Bugey Agglomération;Biogaz;Pertes ou torchage;epci;0.0
2017;200042935;#1ca337;51;31;20;;CA Haut - Bugey Agglomération;Biogaz;Gaz;epci;0.0
2017;200042935;#1ca337;52;31;16;;CA Haut - Bugey Agglomération;Biogaz;Transformation de l'énergie;epci;0.0
2017;200042935;#db0d55;58;32;33;;CA Haut - Bugey Agglomération;Production;Déchets;epci;0.0
2017;200042935;#db0d55;59;33;16;;CA Haut - Bugey Agglomération;Déchets;Transformation de l'énergie;epci;0.0
2017;200042935;#db0d55;60;33;34;;CA Haut - Bugey Agglomération;Déchets;Déchets - vecteur énergétique ;epci;0.0
2017;200042935;#db0d55;61;34;3;;CA Haut - Bugey Agglomération;Déchets - vecteur énergétique ;Résidentiel;epci;0.0
2017;200042935;#db0d55;62;34;4;;CA Haut - Bugey Agglomération;Déchets - vecteur énergétique ;Tertiaire;epci;0.0
2017;200042935;#db0d55;63;34;5;;CA Haut - Bugey Agglomération;Déchets - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;0.0
2017;200042935;#db0d55;64;34;6;;CA Haut - Bugey Agglomération;Déchets - vecteur énergétique ;Industrie et déchets;epci;0.0
2017;200042935;#db0d55;65;34;7;;CA Haut - Bugey Agglomération;Déchets - vecteur énergétique ;Transport;epci;0.0
2017;200042935;#3474eb;66;35;36;;CA Haut - Bugey Agglomération;Production;Hydraulique;epci;122.136444
2017;200042935;#3474eb;67;37;38;;CA Haut - Bugey Agglomération;Production;Eolien;epci;6.78312
2017;200042935;#faf31e;68;39;40;;CA Haut - Bugey Agglomération;Production;Solaire PV;epci;2.2165384867849296
2017;200042935;#3474eb;69;36;41;;CA Haut - Bugey Agglomération;Hydraulique;Electricité;epci;122.136444
2017;200042935;#3474eb;70;38;41;;CA Haut - Bugey Agglomération;Eolien;Electricité;epci;6.78312
2017;200042935;#faf31e;71;40;41;;CA Haut - Bugey Agglomération;Solaire PV;Electricité;epci;2.2165384867849296
2017;200042935;#faf31e;72;42;43;;CA Haut - Bugey Agglomération;Production;Solaire thermique;epci;2.23
2017;200042935;#faf31e;73;44;46;;CA Haut - Bugey Agglomération;Production;PAC;epci;19.11
2017;200042935;#faf31e;74;43;47;;CA Haut - Bugey Agglomération;Solaire thermique;Chaleur locale;epci;2.23
2017;200042935;#faf31e;75;46;47;;CA Haut - Bugey Agglomération;PAC;Chaleur locale;epci;19.11
2017;200042935;#db0d55;76;47;3;;CA Haut - Bugey Agglomération;Chaleur locale;Résidentiel;epci;21.34
2017;200042935;#db0d55;77;47;6;;CA Haut - Bugey Agglomération;Chaleur locale;Industrie et déchets;epci;0.0
2017;200042935;#db0d55;78;48;19;;CA Haut - Bugey Agglomération;Chaleur RDC;Pertes réseaux;epci;3.067785500000003
2017;200042935;#db0d55;79;48;3;;CA Haut - Bugey Agglomération;Chaleur RDC;Résidentiel;epci;33.224116965
2017;200042935;#db0d55;80;48;4;;CA Haut - Bugey Agglomération;Chaleur RDC;Tertiaire;epci;18.069256595000002
2017;200042935;#db0d55;81;48;5;;CA Haut - Bugey Agglomération;Chaleur RDC;Agriculture, sylviculture et aquaculture;epci;1.16575849
2017;200042935;#db0d55;82;48;6;;CA Haut - Bugey Agglomération;Chaleur RDC;Industrie et déchets;epci;5.828792450000001
2017;200042935;#3474eb;83;16;41;;CA Haut - Bugey Agglomération;Transformation de l'énergie;Electricité;epci;7.99
2017;200042935;#db0d55;84;16;48;;CA Haut - Bugey Agglomération;Transformation de l'énergie;Chaleur RDC;epci;61.35571
2017;200042935;#db0d55;85;16;47;;CA Haut - Bugey Agglomération;Transformation de l'énergie;Chaleur locale;epci;0.0
2017;200042935;#c5c9d1;86;16;49;;CA Haut - Bugey Agglomération;Transformation de l'énergie;Pertes transformation;epci;11.985000019974999
2017;200042935;#3474eb;87;41;3;;CA Haut - Bugey Agglomération;Electricité;Résidentiel;epci;151.595537687203
2017;200042935;#3474eb;88;41;4;;CA Haut - Bugey Agglomération;Electricité;Tertiaire;epci;89.8720146237775
2017;200042935;#3474eb;89;41;5;;CA Haut - Bugey Agglomération;Electricité;Agriculture, sylviculture et aquaculture;epci;1.61371760161434
2017;200042935;#3474eb;90;41;6;;CA Haut - Bugey Agglomération;Electricité;Industrie et déchets;epci;420.3770231092565
2017;200042935;#3474eb;91;41;7;;CA Haut - Bugey Agglomération;Electricité;Transport;epci;2.240336311404284
2017;200042935;#3474eb;92;41;19;;CA Haut - Bugey Agglomération;Electricité;Pertes réseaux;epci;12.52134922381064
2017;200042935;#3474eb;93;41;13;;CA Haut - Bugey Agglomération;Electricité;Exportations;epci;539.0938760702813
2017;200073401;#40de48;1;0;1;imports organo-carburant;CC Mézenc-Loire-Meygal;Importations;Organo-carburants;epci;6.4403121079978805
2017;200073401;#40de49;2;1;2;organo-carburant;CC Mézenc-Loire-Meygal;Organo-carburants;Organo-carburants - vecteur énergétique ;epci;6.4403121079978805
2017;200073401;#40de50;3;2;3;organo-carburant vecteur;CC Mézenc-Loire-Meygal;Organo-carburants - vecteur énergétique ;Résidentiel;epci;0.0
2017;200073401;#40de51;4;2;4;Résidentiel;CC Mézenc-Loire-Meygal;Organo-carburants - vecteur énergétique ;Tertiaire;epci;0.0
2017;200073401;#40de52;5;2;5;Tertiaire;CC Mézenc-Loire-Meygal;Organo-carburants - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;1.58743616596342
2017;200073401;#40de53;6;2;6;Agriculture;CC Mézenc-Loire-Meygal;Organo-carburants - vecteur énergétique ;Industrie et déchets;epci;0.0
2017;200073401;#40de54;7;2;7;Industrie-déchets;CC Mézenc-Loire-Meygal;Organo-carburants - vecteur énergétique ;Transport;epci;4.85287594203446
2017;200073401;#c5c9d1;8;8;9;Transport;CC Mézenc-Loire-Meygal;Importations;Produits pétroliers primaires;epci;0.0
2017;200073401;#c5c9d1;9;9;10;imports pp primaires;CC Mézenc-Loire-Meygal;Produits pétroliers primaires;Raffinerie;epci;0.0
2017;200073401;#c5c9d1;10;10;12;pp primaires;CC Mézenc-Loire-Meygal;Raffinerie;Produits pétroliers secondaires;epci;0.0
2017;200073401;#c5c9d1;11;10;13;Raffinerie;CC Mézenc-Loire-Meygal;Raffinerie;Exportations;epci;0.0
2017;200073401;#c5c9d1;12;10;14;Imports pp secondaires;CC Mézenc-Loire-Meygal;Raffinerie;Pertes transformation;epci;0.0
2017;200073401;#c5c9d1;13;11;12;pp secondaires;CC Mézenc-Loire-Meygal;Importations;Produits pétroliers secondaires;epci;134.94635565920993
2017;200073401;#c5c9d1;14;12;16;Exportations;CC Mézenc-Loire-Meygal;Produits pétroliers secondaires;Transformation de l'énergie;epci;0.0
2017;200073401;#c5c9d1;15;12;15;Pertes raffinage;CC Mézenc-Loire-Meygal;Produits pétroliers secondaires;Produits pétroliers secondaires - vecteur énergétique ;epci;134.94635565920998
2017;200073401;#c5c9d1;16;15;3;pp secondaires vecteur;CC Mézenc-Loire-Meygal;Produits pétroliers secondaires - vecteur énergétique ;Résidentiel;epci;43.3444493997376
2017;200073401;#c5c9d1;17;15;4;Transformation de l'énergie;CC Mézenc-Loire-Meygal;Produits pétroliers secondaires - vecteur énergétique ;Tertiaire;epci;9.08951845343308
2017;200073401;#c5c9d1;18;15;5;Importation gaz;CC Mézenc-Loire-Meygal;Produits pétroliers secondaires - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;19.481908129438
2017;200073401;#c5c9d1;19;15;6;Gaz;CC Mézenc-Loire-Meygal;Produits pétroliers secondaires - vecteur énergétique ;Industrie et déchets;epci;2.28373131474269
2017;200073401;#c5c9d1;20;15;7;Pertes réseaux;CC Mézenc-Loire-Meygal;Produits pétroliers secondaires - vecteur énergétique ;Transport;epci;60.7467483618586
2017;200073401;#f58536;21;17;18;Gaz vecteur;CC Mézenc-Loire-Meygal;Importations;Gaz;epci;5.443799624191666
2017;200073401;#f58536;22;18;19;Imports CMS;CC Mézenc-Loire-Meygal;Gaz;Pertes réseaux;epci;0.027083580219859058
2017;200073401;#f58536;23;18;16;CMS;CC Mézenc-Loire-Meygal;Gaz;Transformation de l'énergie;epci;0.0
2017;200073401;#f58536;24;18;20;CMS vecteur;CC Mézenc-Loire-Meygal;Gaz;Gaz - vecteur énergétique ;epci;5.443799624191666
2017;200073401;#f58536;25;20;3;Imports uranium;CC Mézenc-Loire-Meygal;Gaz - vecteur énergétique ;Résidentiel;epci;4.83570000000001
2017;200073401;#f58536;26;20;4;Uranium;CC Mézenc-Loire-Meygal;Gaz - vecteur énergétique ;Tertiaire;epci;0.553624534678482
2017;200073401;#f58536;27;20;5;Imports biomasse solide;CC Mézenc-Loire-Meygal;Gaz - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;0.01374107276403218
2017;200073401;#f58536;28;20;6;Production biommase solide;CC Mézenc-Loire-Meygal;Gaz - vecteur énergétique ;Industrie et déchets;epci;0.0136504365292824
2017;200073401;#f58536;29;20;7;Biomasse solide;CC Mézenc-Loire-Meygal;Gaz - vecteur énergétique ;Transport;epci;0.0
2017;200073401;#211e1c;30;21;22;Biomasse solide vecteur;CC Mézenc-Loire-Meygal;Importations;CMS;epci;0.403065435674052
2017;200073401;#211e1c;31;22;16;Production biogaz;CC Mézenc-Loire-Meygal;CMS;Transformation de l'énergie;epci;0.0
2017;200073401;#211e1c;32;22;23;Biogaz;CC Mézenc-Loire-Meygal;CMS;CMS - vecteur énergétique ;epci;0.403065435674052
2017;200073401;#211e1c;33;23;3;Production déchets;CC Mézenc-Loire-Meygal;CMS - vecteur énergétique ;Résidentiel;epci;0.0
2017;200073401;#211e1c;34;23;4;Déchets;CC Mézenc-Loire-Meygal;CMS - vecteur énergétique ;Tertiaire;epci;0.0
2017;200073401;#211e1c;35;23;5;Déchets vecteur;CC Mézenc-Loire-Meygal;CMS - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;0.0
2017;200073401;#211e1c;36;23;6;Production hydraulique;CC Mézenc-Loire-Meygal;CMS - vecteur énergétique ;Industrie et déchets;epci;0.403065435674052
2017;200073401;#211e1c;37;23;7;Hydroélectricité;CC Mézenc-Loire-Meygal;CMS - vecteur énergétique ;Transport;epci;0.0
2017;200073401;#981ca3;38;24;25;Production éolien;CC Mézenc-Loire-Meygal;Importations;Uranium;epci;0.0
2017;200073401;#981ca3;39;25;16;Eolien;CC Mézenc-Loire-Meygal;Uranium;Transformation de l'énergie;epci;0.0
2017;200073401;#db0d55;40;26;28;Production solaire PV;CC Mézenc-Loire-Meygal;Importations;Biomasse solide;epci;10.75012338007866
2017;200073401;#db0d55;41;27;28;Solaire PV;CC Mézenc-Loire-Meygal;Production;Biomasse solide;epci;25.083621220183538
2017;200073401;#db0d55;42;28;16;Electricité;CC Mézenc-Loire-Meygal;Biomasse solide;Transformation de l'énergie;epci;0.0
2017;200073401;#db0d55;43;28;29;Production solaire thermique;CC Mézenc-Loire-Meygal;Biomasse solide;Biomasse solide - vecteur énergétique ;epci;35.8337446002622
2017;200073401;#db0d55;44;29;3;Solaire thermique;CC Mézenc-Loire-Meygal;Biomasse solide - vecteur énergétique ;Résidentiel;epci;35.0158128531069
2017;200073401;#db0d55;45;29;4;Production PAC;CC Mézenc-Loire-Meygal;Biomasse solide - vecteur énergétique ;Tertiaire;epci;0.706109965850183
2017;200073401;#db0d55;46;29;5;Pertes ou torchage;CC Mézenc-Loire-Meygal;Biomasse solide - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;0.0
2017;200073401;#db0d55;47;29;6;PAC;CC Mézenc-Loire-Meygal;Biomasse solide - vecteur énergétique ;Industrie et déchets;epci;0.111821781305115
2017;200073401;#db0d55;48;29;7;Chaleur locale;CC Mézenc-Loire-Meygal;Biomasse solide - vecteur énergétique ;Transport;epci;0.0
2017;200073401;#1ca337;49;30;31;Réseaux de chaleur;CC Mézenc-Loire-Meygal;Production;Biogaz;epci;0.0
2017;200073401;#1ca337;50;31;45;Pertes transformation;CC Mézenc-Loire-Meygal;Biogaz;Pertes ou torchage;epci;0.0
2017;200073401;#1ca337;51;31;20;;CC Mézenc-Loire-Meygal;Biogaz;Gaz;epci;0.0
2017;200073401;#1ca337;52;31;16;;CC Mézenc-Loire-Meygal;Biogaz;Transformation de l'énergie;epci;0.0
2017;200073401;#db0d55;58;32;33;;CC Mézenc-Loire-Meygal;Production;Déchets;epci;0.0
2017;200073401;#db0d55;59;33;16;;CC Mézenc-Loire-Meygal;Déchets;Transformation de l'énergie;epci;0.0
2017;200073401;#db0d55;60;33;34;;CC Mézenc-Loire-Meygal;Déchets;Déchets - vecteur énergétique ;epci;0.0
2017;200073401;#db0d55;61;34;3;;CC Mézenc-Loire-Meygal;Déchets - vecteur énergétique ;Résidentiel;epci;0.0
2017;200073401;#db0d55;62;34;4;;CC Mézenc-Loire-Meygal;Déchets - vecteur énergétique ;Tertiaire;epci;0.0
2017;200073401;#db0d55;63;34;5;;CC Mézenc-Loire-Meygal;Déchets - vecteur énergétique ;Agriculture, sylviculture et aquaculture;epci;0.0
2017;200073401;#db0d55;64;34;6;;CC Mézenc-Loire-Meygal;Déchets - vecteur énergétique ;Industrie et déchets;epci;0.0
2017;200073401;#db0d55;65;34;7;;CC Mézenc-Loire-Meygal;Déchets - vecteur énergétique ;Transport;epci;0.0
2017;200073401;#3474eb;66;35;36;;CC Mézenc-Loire-Meygal;Production;Hydraulique;epci;0.455198
2017;200073401;#3474eb;67;37;38;;CC Mézenc-Loire-Meygal;Production;Eolien;epci;17.25356
2017;200073401;#faf31e;68;39;40;;CC Mézenc-Loire-Meygal;Production;Solaire PV;epci;2.5625955377767933
2017;200073401;#3474eb;69;36;41;;CC Mézenc-Loire-Meygal;Hydraulique;Electricité;epci;0.455198
2017;200073401;#3474eb;70;38;41;;CC Mézenc-Loire-Meygal;Eolien;Electricité;epci;17.25356
2017;200073401;#faf31e;71;40;41;;CC Mézenc-Loire-Meygal;Solaire PV;Electricité;epci;2.5625955377767933
2017;200073401;#faf31e;72;42;43;;CC Mézenc-Loire-Meygal;Production;Solaire thermique;epci;0.42
2017;200073401;#faf31e;73;44;46;;CC Mézenc-Loire-Meygal;Production;PAC;epci;8.81
2017;200073401;#faf31e;74;43;47;;CC Mézenc-Loire-Meygal;Solaire thermique;Chaleur locale;epci;0.42
2017;200073401;#faf31e;75;46;47;;CC Mézenc-Loire-Meygal;PAC;Chaleur locale;epci;8.81
2017;200073401;#db0d55;76;47;3;;CC Mézenc-Loire-Meygal;Chaleur locale;Résidentiel;epci;9.23
2017;200073401;#db0d55;77;47;6;;CC Mézenc-Loire-Meygal;Chaleur locale;Industrie et déchets;epci;0.0
2017;200073401;#db0d55;78;48;19;;CC Mézenc-Loire-Meygal;Chaleur RDC;Pertes réseaux;epci;0.0
2017;200073401;#db0d55;79;48;3;;CC Mézenc-Loire-Meygal;Chaleur RDC;Résidentiel;epci;0.0
2017;200073401;#db0d55;80;48;4;;CC Mézenc-Loire-Meygal;Chaleur RDC;Tertiaire;epci;0.0
2017;200073401;#db0d55;81;48;5;;CC Mézenc-Loire-Meygal;Chaleur RDC;Agriculture, sylviculture et aquaculture;epci;0.0
2017;200073401;#db0d55;82;48;6;;CC Mézenc-Loire-Meygal;Chaleur RDC;Industrie et déchets;epci;0.0
2017;200073401;#3474eb;83;16;41;;CC Mézenc-Loire-Meygal;Transformation de l'énergie;Electricité;epci;0.0
2017;200073401;#db0d55;84;16;48;;CC Mézenc-Loire-Meygal;Transformation de l'énergie;Chaleur RDC;epci;0.0
2017;200073401;#db0d55;85;16;47;;CC Mézenc-Loire-Meygal;Transformation de l'énergie;Chaleur locale;epci;0.0
